CD_ESTACAO,NOME,SG_ESTADO,WIND_SPEED_mean,WIND_SPEED_120m_mean,WIND_SPEED_median,WIND_SPEED_120m_median,WIND_SPEED_std,WIND_SPEED_120m_std,MINIMUM_DATE,DATASET_SIZE,NON_NULL_RATIO,NON_NULL_DATASET_SIZE,NULL_CELLS_QUANTITY,LATITUDE,LONGITUDE,ALTITUDE
A424,IRECE,BA,2.774448285030577,4.329185627237861,2.8,4.3690559386773415,1.6163886288258638,2.522175834993631,2018-01-01,26327,0.9402134690621795,24753,5160,-11.328998,-41.864504,768.42
A311,FLORIANO,PI,1.2418417155706685,1.93774140082546,1.0,1.5603771209561936,1.1862198985970134,1.8509503901937558,2018-01-01,18239,0.7302483688798728,13319,5558,-6.76138888,-43.00333333,126.39
A432,BURITIRAMA,BA,1.2678306534567703,1.978293944900885,0.4,0.6241508483824775,1.574168595271531,2.456296660589447,2018-01-01,18473,0.9459210739998918,17474,2060,-10.72305554,-43.65111111,506.06
A307,PETROLINA,PE,3.420308590492077,5.336971271213764,3.5,5.461319923346678,1.2592916633600004,1.9649699001178138,2018-01-01,23982,0.9889917438078559,23718,652,-9.388323,-40.523262,372.72
A408,ITABERABA,BA,1.9520016712245518,3.0458587478470447,1.8,2.8086788177211486,1.4592544593076973,2.2769872719570317,2018-01-01,26328,0.6839106654512306,18006,17926,-12.52416666,-40.29972221,250.11
A203,SAO LUIS,MA,1.656961382113821,2.58548463095836,1.6,2.49660339352991,1.2078425562194297,1.8846898904420435,2018-01-01,25587,0.5953413842967131,15233,13149,-2.52666666,-44.21361111,54.8
A421,BREJO GRANDE,SE,1.5522683070242886,2.4221239518661046,1.5,2.3405656814342906,1.3451724112590278,2.0989762542700627,2018-01-01,22109,0.5376543489076846,11887,21911,-10.47388888,-36.48194443,6.11
A345,SAO RAIMUNDO NONATO,PI,1.9912201541643164,3.1070543713448644,1.8,2.8086788177211486,1.4409449818256594,2.2484175821973973,2018-01-01,21276,0.6764899417183681,14393,7848,-9.03333333,-42.70111111,383.13
A438,MARAU,BA,1.9643131293938816,3.065069265500077,1.9,2.964716529816768,1.1677361991500559,1.8221088484660923,2018-01-01,26315,0.7120653619608588,18738,38700,-13.90694444,-38.97222221,6.24
A407,ITIRUCU,BA,2.0870378945743613,3.2565661812624183,2.1,3.2767919540080066,1.2176891219434929,1.900054246317863,2018-01-01,25914,0.9674693216022228,25071,843,-13.527828,-40.119752,757.42
A225,IMPERATRIZ,MA,0.7130585917886524,1.1126403125282553,0.2,0.31207542419123874,0.962505158225407,1.5018710276972465,2018-01-01,25892,0.8956434419898038,23190,2761,-5.55583333,-47.45972222,117.96
A332,MORADA NOVA,CE,2.3403680743897715,3.6518567978941023,2.3,3.5888673781992453,1.6823589648908313,2.625114438051197,2018-01-01,25810,0.7370011623401782,19022,19545,-5.13666666,-38.35666666,45.03
A321,PATOS,PB,2.7678986230293354,4.318965684501127,2.8,4.3690559386773415,2.0092304247141417,3.1351571854530427,2018-01-01,25057,0.6676776948557289,16730,10305,-7.07972221,-37.27277777,263.66
A414,VITORIA DA CONQUISTA,BA,2.348404494382023,3.6643966437844058,2.3,3.5888673781992453,0.985745947056344,1.5381354228620143,2018-01-01,24641,0.9352299013838724,23045,7842,-14.88638888,-40.80138888,879.38
A337,CARACOL,PI,2.010719495367632,3.1374806972322373,1.6,2.49660339352991,1.7445776875014376,2.7221991093079074,2018-01-01,25365,0.7785136999802877,19747,23065,-9.28583333,-43.32444443,515.3
A220,BACABAL,MA,1.0981435201713676,1.7135180244016979,0.8,1.248301696764955,1.123481262547357,1.753054457901874,2018-01-01,22409,0.815832924271498,18282,4949,-4.24305555,-44.79499999,22.33
A402,BARREIRAS,BA,1.0612660902226223,1.6559753264300112,0.8,1.248301696764955,1.1754254828385557,1.8341070308101697,2018-01-01,25559,0.7982315427051137,20402,5255,-12.12472221,-45.02694443,474.17
A409,ARACAJU,SE,2.5621011850501367,3.9978440707269844,2.4,3.7449050902948646,1.277772562709521,1.9938070726375001,2018-01-01,26328,0.8166590701914311,21501,19147,-10.9525,-37.05444444,3.72
A352,CAMARATUBA,PB,0.526368030937802,0.8213326326781084,0.0,0.0,1.1988005596884992,1.8705809659274142,2018-01-01,15515,0.3840799226554947,5959,9776,-6.56194444,-35.13527777,135.51
A303,MACEIO,AL,2.588942008892288,4.039725878157894,2.4,3.7449050902948646,1.5797268810995952,2.4649696826272938,2018-01-01,20917,0.8896113209351245,18608,2660,-9.55111111,-35.77027777,84.12
A436,QUEIMADAS,BA,3.0070464229647897,4.692126440047421,2.9,4.525093650772962,1.5297443104278166,2.386978022904474,2018-01-01,22296,0.905453893074991,20188,8727,-10.98472221,-39.61694443,310.11
A339,JAGUARUANA,CE,2.033302868950171,3.1727192766844365,1.5,2.3405656814342906,2.10468013642816,3.284094731813461,2018-01-01,25167,0.9574442722612946,24096,2169,-4.78694444,-37.76666666,49.0
A372,IPANGUACU,RN,2.1158256274768825,3.3014859010477093,2.0,3.1207542419123873,1.8573066328831884,2.8980987765511124,2018-01-01,22711,0.9845889656994408,22361,534,-5.53499999,-36.87222221,19.0
A425,LENCOIS,BA,0.7210080522637496,1.1250444687775425,0.4,0.6241508483824775,0.8088865842758678,1.262168119552468,2018-01-01,26328,0.9697660285627469,25532,796,-12.557854,-41.388808,438.09
A310,AREIA,PB,3.8021969178771173,5.932861080025609,3.9,6.085470771729155,1.3775510413084897,2.1494991278071476,2018-01-02,24878,0.7146072835436932,17778,7863,-6.975451,-35.718128,573.45
A433,BRUMADO,BA,1.3111094213367807,2.0458251441240263,1.1,1.7164148330518132,1.125525260056673,1.7562438648507026,2018-01-01,26302,0.9696220819709528,25503,834,-14.18194443,-41.67222221,473.37
A320,JOAO PESSOA,PB,1.7673793005804903,2.757778224677356,1.6,2.49660339352991,0.8726972875081005,1.3617368809481696,2018-01-01,21191,0.9957057241281676,21100,261,-7.16527777,-34.81555555,33.5
